model,point_idx,eps,delta,result,pred_class,ambiguous,solve_time_s,total_time_s,counterexample
20251030_112344_small_net_weights.json,5,0.05,0.1,unsat,1,0,0.0015671253204345703,0.003361940383911133,
20251030_112344_small_net_weights.json,5,0.1,0.0,unsat,1,1,0.0010750293731689453,0.0028972625732421875,
20251030_112344_small_net_weights.json,5,0.1,0.1,unsat,1,1,0.0010118484497070312,0.002711057662963867,
20251030_112344_small_net_weights.json,5,0.2,0.0,sat,1,1,0.001310110092163086,0.0033631324768066406,"[0.3855871544374179, 0.12310444200850296]"
20251030_112344_small_net_weights.json,5,0.2,0.1,sat,1,1,0.0012760162353515625,0.003078937530517578,"[0.3855871544374179, 0.08391122016335367]"
20251030_112344_small_net_weights.json,6,0.02,0.0,unsat,1,0,0.0012209415435791016,0.0029058456420898438,
20251030_112344_small_net_weights.json,6,0.02,0.1,unsat,1,0,0.0010569095611572266,0.0027320384979248047,
20251030_112344_small_net_weights.json,6,0.05,0.0,unsat,1,0,0.0009548664093017578,0.0025599002838134766,
20251030_112344_small_net_weights.json,6,0.05,0.1,unsat,1,0,0.001013040542602539,0.002627134323120117,
20251030_112344_small_net_weights.json,6,0.1,0.0,unsat,1,1,0.0010449886322021484,0.002933025360107422,
20251030_112344_small_net_weights.json,6,0.1,0.1,unsat,1,1,0.0011639595031738281,0.002954244613647461,
20251030_112344_small_net_weights.json,6,0.2,0.0,sat,1,1,0.0014808177947998047,0.003322124481201172,"[-0.25721773178883955, -0.16490711420544585]"
20251030_112344_small_net_weights.json,6,0.2,0.1,sat,1,1,0.0012669563293457031,0.0030150413513183594,"[-0.169743483046207, -0.16490711420544585]"
20251030_112344_small_net_weights.json,7,0.02,0.0,unsat,0,0,0.0007560253143310547,0.002360820770263672,
20251030_112344_small_net_weights.json,7,0.02,0.1,unsat,0,0,0.0007071495056152344,0.0022840499877929688,
20251030_112344_small_net_weights.json,7,0.05,0.0,unsat,0,0,0.0010781288146972656,0.0028891563415527344,
20251030_112344_small_net_weights.json,7,0.05,0.1,unsat,0,0,0.0009670257568359375,0.0026357173919677734,
20251030_112344_small_net_weights.json,7,0.1,0.0,unsat,0,0,0.001094818115234375,0.0029098987579345703,
20251030_112344_small_net_weights.json,7,0.1,0.1,unsat,0,0,0.0010161399841308594,0.0028138160705566406,
20251030_112344_small_net_weights.json,7,0.2,0.0,sat,0,1,0.0030431747436523438,0.004892826080322266,"[-0.13736495405488175, -0.1112065500507864]"
20251030_112344_small_net_weights.json,7,0.2,0.1,sat,0,1,0.0028238296508789062,0.004641056060791016,"[-0.13736495405488175, -0.07201332820563712]"
20251030_112344_small_net_weights.json,8,0.02,0.0,unsat,0,0,0.0012030601501464844,0.0030319690704345703,
20251030_112344_small_net_weights.json,8,0.02,0.1,unsat,0,0,0.0010161399841308594,0.0026772022247314453,
20251030_112344_small_net_weights.json,8,0.05,0.0,unsat,0,0,0.00096893310546875,0.002624988555908203,
20251030_112344_small_net_weights.json,8,0.05,0.1,unsat,0,0,0.0012590885162353516,0.003203868865966797,
20251030_112344_small_net_weights.json,8,0.1,0.0,unsat,0,0,0.0011210441589355469,0.0028870105743408203,
20251030_112344_small_net_weights.json,8,0.1,0.1,unsat,0,0,0.0009682178497314453,0.0027458667755126953,
20251030_112344_small_net_weights.json,8,0.2,0.0,sat,0,0,0.0013539791107177734,0.003108978271484375,"[-1.173461173889164, -0.5754340179123582]"
20251030_112344_small_net_weights.json,8,0.2,0.1,sat,0,0,0.0011680126190185547,0.0028908252716064453,"[-1.173461173889164, -0.5362407960672089]"
20251030_112344_small_net_weights.json,9,0.02,0.0,unsat,0,0,0.0010340213775634766,0.0025970935821533203,
20251030_112344_small_net_weights.json,9,0.02,0.1,unsat,0,0,0.0010461807250976562,0.002647876739501953,
20251030_112344_small_net_weights.json,9,0.05,0.0,unsat,0,1,0.00156402587890625,0.003423929214477539,
20251030_112344_small_net_weights.json,9,0.05,0.1,unsat,0,1,0.0014641284942626953,0.0032129287719726562,
20251030_112344_small_net_weights.json,9,0.1,0.0,unsat,0,1,0.001477956771850586,0.003412008285522461,
20251030_112344_small_net_weights.json,9,0.1,0.1,unsat,0,1,0.0014259815216064453,0.003098011016845703,
20251030_112344_small_net_weights.json,9,0.2,0.0,sat,0,1,0.0030939579010009766,0.0050029754638671875,"[1.6878408888983736, 0.7065849548114338]"
20251030_112344_small_net_weights.json,9,0.2,0.1,sat,0,1,0.0012891292572021484,0.003074169158935547,"[1.5433865088416896, 0.681054756387804]"
20251030_112344_tiny_net_weights.json,0,0.02,0.0,sat,1,1,0.015845060348510742,0.020390987396240234,"[-0.5859554888915933, 0.6846561785734139]"
20251030_112344_tiny_net_weights.json,0,0.02,0.1,sat,1,1,0.01628279685974121,0.020600080490112305,"[-0.5859554888915933, 0.6720304691333369]"
20251030_112344_tiny_net_weights.json,0,0.05,0.0,sat,1,2,0.011452913284301758,0.015915870666503906,"[-0.6159554888915934, 0.737464307077488]"
20251030_112344_tiny_net_weights.json,0,0.05,0.1,sat,1,2,0.004451274871826172,0.008919715881347656,"[-0.5159554888915933, 0.6964616609674809]"
20251030_112344_tiny_net_weights.json,0,0.1,0.0,sat,1,2,0.00437617301940918,0.008865833282470703,"[-0.46595548889159333, 0.7265382217176606]"
